,Open,High,Low,Close,Volume,TradingDate
249,76100.0,77100.0,75500.0,76300.0,3044600,2022-06-06
250,76000.0,76500.0,75200.0,76000.0,3038300,2022-06-07
251,76900.0,77400.0,76000.0,76400.0,2684900,2022-06-08
252,76800.0,77300.0,76200.0,76500.0,2383800,2022-06-09
253,76900.0,77500.0,76300.0,77000.0,2158000,2022-06-10
254,77000.0,77000.0,75900.0,76000.0,2464100,2022-06-13
255,76100.0,77000.0,76000.0,76600.0,2635200,2022-06-14
256,76800.0,77000.0,75600.0,76400.0,3341200,2022-06-15
257,77000.0,78300.0,76400.0,77500.0,3137300,2022-06-16
258,77300.0,78300.0,75700.0,75700.0,3396400,2022-06-17
259,76900.0,76900.0,75200.0,75500.0,3111300,2022-06-20
260,76000.0,76300.0,75200.0,75500.0,2429400,2022-06-21
261,76000.0,76100.0,74900.0,75500.0,2346000,2022-06-22
262,75000.0,75300.0,74500.0,74900.0,2913600,2022-06-23
263,72000.0,75800.0,72000.0,74000.0,3884600,2022-06-24
264,74500.0,78800.0,73000.0,78800.0,3978700,2022-06-27
265,77500.0,77500.0,74600.0,75100.0,4116100,2022-06-28
266,75300.0,76100.0,74700.0,75100.0,2425200,2022-06-29
267,76000.0,76000.0,74400.0,74500.0,1597500,2022-06-30
268,74900.0,74900.0,73800.0,74400.0,1683800,2022-07-01
269,74500.0,75000.0,73400.0,74000.0,2206200,2022-07-04
270,74100.0,74800.0,73100.0,73500.0,1777900,2022-07-05
271,74000.0,74000.0,73100.0,73400.0,967400,2022-07-06
272,73200.0,74000.0,73100.0,74000.0,1728000,2022-07-07
273,74000.0,74900.0,73200.0,73800.0,1030500,2022-07-08
274,73800.0,73800.0,73200.0,73400.0,957700,2022-07-11
275,73300.0,73700.0,72900.0,73400.0,917300,2022-07-12
276,73200.0,73900.0,72900.0,73600.0,900500,2022-07-13
277,73600.0,73700.0,73000.0,73700.0,1313200,2022-07-14
278,74000.0,74000.0,72800.0,73600.0,1410600,2022-07-15
279,73800.0,73800.0,73100.0,73600.0,1405900,2022-07-18
280,74000.0,74700.0,73200.0,73600.0,1526700,2022-07-19
281,73800.0,74000.0,73100.0,73900.0,918000,2022-07-20
282,74400.0,74700.0,73400.0,74200.0,1867700,2022-07-21
283,74500.0,74500.0,73400.0,73900.0,2107900,2022-07-22
284,73300.0,74300.0,73300.0,73700.0,1266800,2022-07-25
285,73200.0,73900.0,73200.0,73900.0,1102800,2022-07-26
286,74400.0,74500.0,73300.0,73700.0,1806700,2022-07-27
287,73900.0,74000.0,73500.0,74000.0,1735300,2022-07-28
288,74000.0,74500.0,73500.0,74500.0,3009000,2022-07-29
289,74000.0,74700.0,74000.0,74700.0,2430200,2022-08-01
290,74700.0,75700.0,74000.0,75700.0,2766800,2022-08-02
291,75000.0,76400.0,75000.0,76200.0,3059500,2022-08-03
292,76300.0,78500.0,76000.0,78500.0,3680500,2022-08-04
293,78500.0,82400.0,78400.0,80900.0,3741000,2022-08-05
294,78100.0,82000.0,78100.0,81800.0,3255100,2022-08-08
295,82000.0,83600.0,81000.0,83300.0,2873600,2022-08-09
296,83300.0,84000.0,82300.0,83200.0,2503400,2022-08-10
297,84000.0,84200.0,81100.0,81300.0,4464700,2022-08-11
298,81100.0,82000.0,78700.0,81500.0,3024700,2022-08-12
299,82000.0,82000.0,79000.0,81800.0,2579100,2022-08-15
300,81500.0,83000.0,80600.0,83000.0,2508100,2022-08-16
301,83000.0,84900.0,82600.0,84400.0,3043000,2022-08-17
302,84700.0,85400.0,83000.0,83100.0,5301100,2022-08-18
303,83100.0,84000.0,82300.0,82300.0,2304400,2022-08-19
304,82000.0,82800.0,80500.0,81800.0,3159200,2022-08-22
305,80600.0,82500.0,80500.0,82000.0,3422500,2022-08-23
306,82700.0,82900.0,81800.0,82900.0,2529700,2022-08-24
307,83400.0,84900.0,82900.0,83600.0,3048600,2022-08-25
308,83800.0,84800.0,82700.0,83300.0,3060400,2022-08-26
309,82100.0,82900.0,81500.0,82100.0,2655600,2022-08-29
310,82100.0,82700.0,81000.0,82200.0,2386200,2022-08-30
311,82300.0,82900.0,81200.0,81900.0,1662300,2022-08-31
312,81100.0,82400.0,80800.0,81500.0,2784700,2022-09-05
313,81000.0,82400.0,80800.0,82100.0,2303000,2022-09-06
314,82500.0,83900.0,81700.0,83800.0,3686400,2022-09-07
